frame_path,video_name,label,split,frame_index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_body_line,right_body_line,torso_angle,left_knee_bend,right_knee_bend,head_drop,left_shoulder_shrug,right_shoulder_shrug,arm_symmetry,leg_symmetry,hip_symmetry,form_label
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0000.jpg,v_BodyWeightSquats_g08_c01,squats,train,0,0.528481,0.404394,0.424739,0.412102,0.515407,0.50983,0.399737,0.531769,0.515949,0.603479,0.388301,0.647657,0.50509,0.629763,0.442952,0.628543,0.505625,0.81297,0.435613,0.809195,0.50481,0.928008,0.418064,0.926531,0.498673,0.326496,0.497683,0.314941,0.465681,0.317969,179.4240631920491,173.81990163702227,172.59939623317115,173.83437613733236,173.90705609883304,172.86354441116785,174.12820800257052,170.41570341607908,174.07425609162323,0.0008150000000000102,0.01754899999999998,-0.07789799999999997,-0.08945299999999995,-0.09413300000000002,1.2349799041612073,5.6041615550268205,1.0435116876651875,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0001.jpg,v_BodyWeightSquats_g08_c01,squats,train,1,0.528104,0.40751,0.424543,0.420782,0.514671,0.514613,0.403981,0.547746,0.509988,0.601806,0.399292,0.657873,0.508476,0.634631,0.44764,0.634521,0.511004,0.811596,0.43415,0.807496,0.517142,0.928006,0.416381,0.922342,0.500554,0.326976,0.499574,0.315801,0.466165,0.318452,177.79944538925716,175.6639117646221,175.9246760763592,173.2384719021276,174.24214636139519,169.37300570425492,173.36867865169407,167.6340571992523,175.06042872369733,-0.006137999999999977,0.01776899999999998,-0.080534,-0.09170899999999998,-0.10232999999999998,2.686204174231591,2.135533624635059,4.869140657140264,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0002.jpg,v_BodyWeightSquats_g08_c01,squats,train,2,0.528069,0.408498,0.424838,0.423931,0.514749,0.524563,0.404191,0.559152,0.518776,0.626624,0.405582,0.671011,0.50937,0.637184,0.446553,0.635718,0.511067,0.819368,0.432975,0.819424,0.510661,0.93568,0.418781,0.929287,0.499823,0.333185,0.496404,0.320372,0.465326,0.323209,179.26421426187875,176.86494337783438,171.19334434074477,170.60583668910695,174.79165594299494,169.91857458361338,175.077586474529,168.7415755626481,175.32518184967796,0.00040600000000001746,0.014193999999999984,-0.07531300000000002,-0.08812600000000004,-0.10072199999999998,0.5875076516378215,2.3992708840443697,4.873081359381558,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0003.jpg,v_BodyWeightSquats_g08_c01,squats,train,3,0.527152,0.406613,0.425933,0.421081,0.516548,0.514546,0.406184,0.553434,0.520792,0.615737,0.403446,0.668343,0.50942,0.635413,0.448259,0.634943,0.510197,0.814432,0.434417,0.812154,0.511726,0.935275,0.416944,0.929216,0.498956,0.325757,0.498514,0.314817,0.464174,0.316985,179.5205927791221,175.97648207212646,171.986942146208,172.87791098266388,175.3195843963326,169.57382588730405,175.1277300531535,167.96592688231604,175.56811314061662,-0.0015290000000000026,0.017473000000000016,-0.08085599999999998,-0.09179599999999999,-0.10409599999999997,0.890968836455869,3.544110706995639,5.745758509028548,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0004.jpg,v_BodyWeightSquats_g08_c01,squats,train,4,0.528866,0.404012,0.428408,0.419315,0.51839,0.510934,0.40734,0.550497,0.521265,0.591905,0.403846,0.664902,0.508843,0.637141,0.447584,0.636982,0.511105,0.81286,0.431903,0.814557,0.514476,0.935295,0.414609,0.93065,0.5028,0.319947,0.499019,0.310399,0.467589,0.312213,179.15857846070676,176.573173249726,172.3701247082219,172.6251480987097,174.3533644176071,169.91878828016215,174.00858906209433,168.55860198312766,175.09073808377943,-0.003371000000000013,0.017293999999999976,-0.084065,-0.093613,-0.10710199999999997,0.25502339048779277,2.5854052109807526,4.434576137444964,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0005.jpg,v_BodyWeightSquats_g08_c01,squats,train,5,0.531118,0.403008,0.430212,0.417066,0.520167,0.511756,0.409903,0.548413,0.524932,0.612248,0.406295,0.661857,0.510955,0.635517,0.450192,0.635756,0.512245,0.815069,0.434414,0.812355,0.515529,0.931439,0.414138,0.929459,0.507505,0.317147,0.500437,0.307888,0.47246,0.309235,178.79385775531097,175.28202828805937,171.53456571413983,173.03179959552597,174.63197096669214,169.67428411430274,174.1581351096473,167.7813575962454,175.04347059265723,-0.0032840000000000646,0.020276000000000016,-0.08586099999999997,-0.09511999999999998,-0.10783100000000001,1.497233881386137,3.5118294672516015,4.957686852389401,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0006.jpg,v_BodyWeightSquats_g08_c01,squats,train,6,0.531029,0.399564,0.435072,0.413287,0.523083,0.514014,0.414406,0.55074,0.526017,0.612411,0.411055,0.66872,0.511268,0.633869,0.450966,0.634845,0.511962,0.815124,0.431947,0.82061,0.524661,0.940874,0.413337,0.935172,0.51122,0.310413,0.500421,0.301716,0.474812,0.303725,174.4525922350496,176.61843895622096,174.32001039878364,173.07630085040262,174.95962314683263,170.05100811318758,172.68116308109757,168.7551652603132,175.17886310154466,-0.012699000000000016,0.018610000000000015,-0.08915099999999998,-0.09784799999999999,-0.10956199999999999,1.2437095483810197,2.165846721171363,4.908615033645049,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0007.jpg,v_BodyWeightSquats_g08_c01,squats,train,7,0.532811,0.392342,0.434482,0.407226,0.534463,0.514614,0.41901,0.542994,0.54659,0.62896,0.415827,0.665358,0.512312,0.627133,0.450855,0.628554,0.512979,0.811299,0.435733,0.80115,0.524803,0.943348,0.412502,0.934541,0.513838,0.307254,0.501076,0.298468,0.479587,0.298969,175.0904735522659,175.12751389227057,174.71973570614878,174.9883537191526,174.80265070403078,170.76190796306156,172.74814538025242,168.62483685897377,175.01002647121408,-0.011824000000000057,0.023231,-0.085088,-0.09387400000000001,-0.10825699999999999,0.2686180130038167,0.037040340004665495,4.040742740969222,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0008.jpg,v_BodyWeightSquats_g08_c01,squats,train,8,0.537461,0.391553,0.437874,0.40414,0.55111,0.507684,0.431671,0.54367,0.568126,0.609018,0.4334,0.667437,0.508339,0.61632,0.448068,0.613937,0.51501,0.795803,0.438165,0.778571,0.516886,0.923384,0.412017,0.918455,0.515535,0.299847,0.503563,0.289741,0.479314,0.291479,178.71274330181927,172.85419263747752,177.17014159074296,176.65358732493598,170.48891671159706,173.77575851515516,171.023137879976,170.4664878292876,172.6173876209195,-0.0018759999999999888,0.026148000000000005,-0.09170600000000001,-0.10181199999999996,-0.11266100000000001,0.516554265806974,5.858550664341749,3.2868418035581044,bad
outputs/frames\train\squats\v_BodyWeightSquats_g08_c01\frame_0009.jpg,v_BodyWeightSquats_g08_c01,squats,train,9,0.539941,0.383564,0.440572,0.386793,0.572995,0.503788,0.449182,0.527672,0.61584,0.61444,0.467003,0.66357,0.509036,0.617269,0.445749,0.614324,0.517213,0.783445,0.436322,0.795025,0.517338,0.920168,0.408815,0.944491,0.512246,0.292267,0.504836,0.283777,0.47826,0.281435,177.23478805289227,172.55844240349435,174.20585324161695,176.02606894729763,169.64979708702313,175.71003251121942,170.89690355108098,172.31368754555777,172.46676676151174,-0.00012499999999993072,0.027507000000000004,-0.09129700000000002,-0.09978700000000001,-0.10535800000000001,1.8202157056806811,4.676345649397916,6.060235424196293,bad
